scheduling process 12, rbi 46182441, rtime 26, wtime 70, stime 0
scheduling process 4, rbi 44277963, rtime 0, wtime 40, stime 56
scheduling process 5, rbi 44277963, rtime 0, wtime 48, stime 48
scheduling process 6, rbi 44277963, rtime 0, wtime 48, stime 48
scheduling process 7, rbi 44277963, rtime 0, wtime 48, stime 48
scheduling process 8, rbi 44277963, rtime 0, wtime 48, stime 48
scheduling process 13, rbi 50529024, rtime 28, wtime 69, stime 0
scheduling process 4, rbi 43826147, rtime 0, wtime 41, stime 57
scheduling process 12, rbi 46182441, rtime 28, wtime 70, stime 0
scheduling process 5, rbi 43383458, rtime 0, wtime 49, stime 49
scheduling process 6, rbi 43383458, rtime 0, wtime 49, stime 49
scheduling process 7, rbi 43383458, rtime 0, wtime 49, stime 49
scheduling process 8, rbi 43383458, rtime 0, wtime 49, stime 49
scheduling process 13, rbi 50529024, rtime 29, wtime 70, stime 0
scheduling process 4, rbi 42949623, rtime 0, wtime 42, stime 58
scheduling process 12, rbi 46182441, rtime 30, wtime 70, stime 0
scheduling process 5, rbi 42524379, rtime 0, wtime 50, stime 50
scheduling process 6, rbi 42524379, rtime 0, wtime 50, stime 50
scheduling process 7, rbi 42524379, rtime 0, wtime 50, stime 50
scheduling process 8, rbi 42524379, rtime 0, wtime 50, stime 50
scheduling process 13, rbi 50529024, rtime 30, wtime 71, stime 0
scheduling process 4, rbi 42107473, rtime 0, wtime 42, stime 59
scheduling process 12, rbi 46182441, rtime 32, wtime 70, stime 0
scheduling process 4, rbi 41698662, rtime 0, wtime 42, stime 60
scheduling process 5, rbi 41698662, rtime 0, wtime 51, stime 51
scheduling process 6, rbi 41698662, rtime 0, wtime 51, stime 51
scheduling process 7, rbi 41698662, rtime 0, wtime 51, stime 51
scheduling process 8, rbi 41698662, rtime 0, wtime 51, stime 51
scheduling process 4, rbi 41698662, rtime 0, wtime 42, stime 61
scheduling process 13, rbi 50529024, rtime 31, wtime 72, stime 0
scheduling process 12, rbi 46182441, rtime 34, wtime 70, stime 0
scheduling process 4, rbi 40904400, rtime 0, wtime 42, stime 62
scheduling process 5, rbi 40904400, rtime 0, wtime 52, stime 52
scheduling process 6, rbi 40904400, rtime 0, wtime 52, stime 52
scheduling process 7, rbi 40904400, rtime 0, wtime 52, stime 52
scheduling process 8, rbi 40904400, rtime 0, wtime 52, stime 52
scheduling process 13, rbi 50529024, rtime 32, wtime 73, stime 0
scheduling process 4, rbi 40518509, rtime 0, wtime 43, stime 63
scheduling process 12, rbi 46182441, rtime 36, wtime 70, stime 0
scheduling process 5, rbi 40139831, rtime 0, wtime 53, stime 53
scheduling process 6, rbi 40139831, rtime 0, wtime 53, stime 53
scheduling process 7, rbi 40139831, rtime 0, wtime 53, stime 53
scheduling process 8, rbi 40139831, rtime 0, wtime 53, stime 53
